Batch Size,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Loss,Validation Split
20.0,1000.0,300.0,2500.0,500.0,2000.0,59.94227602,0.30651354199999997
32.0,500.0,300.0,1500.0,1000.0,1000.0,74.25266293,0.21133343899999998
20.0,1500.0,200.0,1000.0,500.0,2500.0,80.43432301,0.248288375
64.0,2000.0,2000.0,2000.0,2000.0,2000.0,104.76025556081748,0.3307370237772823
20.0,3000.0,1000.0,200.0,2500.0,1500.0,79.8629368242011,0.22076364098691656
32.0,300.0,500.0,500.0,200.0,2500.0,62.22356139033674,0.25443783369026457
32.0,3000.0,3000.0,3000.0,3000.0,3000.0,109.07792259124388,0.2
20.0,2500.0,2500.0,1500.0,300.0,1500.0,80.45523273513976,0.2854614117432183
32.0,500.0,500.0,500.0,500.0,500.0,65.6578185299793,0.2758051544143373
64.0,2500.0,300.0,300.0,1500.0,300.0,94.24835848521036,0.4973760549050287
64.0,2500.0,2500.0,2500.0,2500.0,2500.0,51.85948888939546,0.2
125.0,500.0,200.0,200.0,200.0,300.0,67.54630623668072,0.2110317654899241
32.0,3500.0,3500.0,3500.0,3500.0,3500.0,47.38646657208361,0.20678614843750007
100.0,500.0,200.0,2500.0,1500.0,2500.0,52.75300986508289,0.22799208090576728
